"Date","Price","Open","High","Low","Vol.","Change %"
"12/06/2020","33.72","33.72","33.72","33.72","","25.31%"
"12/13/2020","28.25","28.25","28.25","28.25","","-16.22%"
"12/20/2020","25.82","25.82","25.82","25.82","","-8.60%"
"12/27/2020","23.82","23.82","23.82","23.82","","-7.75%"
"01/03/2021","19.48","19.48","19.48","19.48","","-18.22%"
"01/10/2021","23.78","23.78","23.78","23.78","","22.07%"
"01/17/2021","17.32","17.32","17.32","17.32","","-27.17%"
"01/24/2021","35.84","35.84","35.84","35.84","","106.93%"
"01/31/2021","25.79","25.79","25.79","25.79","","-28.04%"
"02/07/2021","24.01","24.01","24.01","24.01","","-6.90%"
"02/14/2021","28.33","28.33","28.33","28.33","","17.99%"
"02/21/2021","36.34","36.34","36.34","36.34","","28.27%"
"02/28/2021","30.22","30.22","30.22","30.22","","-16.84%"
"03/07/2021","22.42","22.42","22.42","22.42","","-25.81%"
"03/14/2021","24.68","24.68","24.68","24.68","","10.08%"
"03/21/2021","19.84","19.84","19.84","19.84","","-19.61%"
"03/28/2021","17.93","17.93","17.93","17.93","","-9.63%"
"04/04/2021","17.16","17.16","17.16","17.16","","-4.29%"
"04/11/2021","16.57","16.57","16.57","16.57","","-3.44%"
"04/18/2021","20.67","20.67","20.67","20.67","","24.74%"
"04/25/2021","31.68","31.68","31.68","31.68","","53.27%"
"05/02/2021","25.63","25.63","25.63","25.63","","-19.10%"
"05/09/2021","30.12","30.12","30.12","30.12","","17.52%"
"05/16/2021","34.71","34.71","34.71","34.71","","15.24%"
"05/23/2021","26.26","26.26","26.26","26.26","","-24.34%"
"05/30/2021","25.22","25.22","25.22","25.22","","-3.96%"
"06/06/2021","23.73","23.73","23.73","23.73","","-5.91%"
"06/13/2021","36.99","36.99","36.99","36.99","","55.88%"
"06/20/2021","16.11","16.11","16.11","16.11","","-56.45%"
"06/27/2021","13.41","13.41","13.41","13.41","","-16.76%"
"07/04/2021","13.29","13.29","13.29","13.29","","-0.89%"
"07/11/2021","23.51","23.51","23.51","23.51","","76.90%"
"07/18/2021","17.37","17.37","17.37","17.37","","-26.12%"
