"Date","Price","Open","High","Low","Vol.","Change %"
"07/19/2024","10.05","9.29","11.07","8.66","","18.65%"
"07/18/2024","8.47","6.88","9.40","6.60","","19.97%"
"07/17/2024","7.06","6.66","7.63","6.06","","29.54%"
"07/16/2024","5.45","4.72","5.57","4.66","","13.31%"
"07/15/2024","4.81","4.77","5.02","3.68","","64.16%"
"07/12/2024","2.93","3.34","3.40","2.84","","-24.29%"
"07/11/2024","3.87","3.57","4.72","3.41","","-6.07%"
"07/10/2024","4.12","3.92","4.15","3.63","","2.23%"
"07/09/2024","4.03","3.86","4.44","3.58","","5.50%"
"07/08/2024","3.82","4.12","4.12","3.61","","-5.91%"
"07/05/2024","4.06","4.11","4.24","3.48","","-8.97%"
"07/03/2024","4.46","4.93","5.12","4.42","","-10.26%"
"07/02/2024","4.97","5.76","5.76","4.70","","-3.12%"
"07/01/2024","5.13","6.71","7.19","4.85","","-8.23%"
"06/28/2024","5.59","5.83","6.59","5.24","","-4.93%"
"06/27/2024","5.88","6.60","7.14","5.80","","-13.91%"
"06/26/2024","6.83","8.67","8.67","6.43","","-14.20%"
"06/25/2024","7.96","8.09","9.21","7.72","","-6.13%"
"06/24/2024","8.48","9.99","9.99","7.71","","7.07%"
"06/21/2024","7.92","9.43","9.57","7.74","","-8.12%"
"06/20/2024","8.62","8.05","10.00","7.34","","-1.03%"
"06/18/2024","8.71","8.74","9.94","8.26","","-6.55%"
"06/17/2024","9.32","10.42","10.88","8.08","","-0.96%"
"06/14/2024","9.41","10.45","10.53","8.67","","5.85%"
"06/13/2024","8.89","10.25","11.20","8.79","","-18.52%"
"06/12/2024","10.91","13.59","14.09","10.47","","-27.89%"
"06/11/2024","15.13","16.00","17.32","15.06","","6.18%"
"06/10/2024","14.25","13.26","14.29","13.02","","23.27%"
"06/07/2024","11.56","12.58","12.74","11.00","","-4.15%"
"06/06/2024","12.06","12.40","14.05","11.39","","-6.80%"
"06/05/2024","12.94","14.72","16.23","12.79","","-17.05%"
"06/04/2024","15.60","15.43","17.55","14.68","","12.07%"
"06/03/2024","13.92","16.94","16.94","12.72","","10.56%"
"05/31/2024","12.59","14.08","17.49","12.33","","-19.86%"
"05/30/2024","15.71","14.84","16.91","12.62","","3.08%"
"05/29/2024","15.24","15.32","15.55","13.50","","30.15%"
"05/28/2024","11.71","14.72","14.72","10.82","","-8.01%"
"05/24/2024","12.73","13.40","14.42","12.71","","-12.02%"
"05/23/2024","14.47","11.84","16.35","11.84","","19.59%"
